Time/s,Azimuth/deg,Zenith/deg
184,209.73,44.36
185,214.25,40.177
186,212.2,41.609
187,210.27,42.977
188,208.43,44.287
189,213.03,40.267
190,210.95,41.64
191,209,42.954
192,207.14,44.213
193,211.8,40.358
194,209.71,41.672
195,207.73,42.931
196,205.85,44.139
197,210.56,40.449
198,208.46,41.704
199,206.46,42.907
200,204.56,44.063
201,209.33,40.541
202,207.21,41.737
203,205.2,42.884
204,203.28,43.986
205,208.09,40.634
206,205.96,41.769
207,203.93,42.86
208,201.99,43.909
209,206.85,40.728
210,204.71,41.803
211,202.67,42.836
212,200.71,43.831
213,205.61,40.822
214,203.46,41.836
215,201.4,42.812
216,199.43,43.751
217,204.37,40.917
218,202.21,41.87
219,200.14,42.787
220,198.15,43.672
221,203.13,41.013
222,200.96,41.904
223,198.88,42.763
224,196.87,43.591
225,201.88,41.109
226,199.71,41.939
227,197.62,42.738
228,195.59,43.51
229,200.63,41.206
230,198.46,41.973
231,196.35,42.713
232,194.31,43.428
233,199.38,41.303
234,197.2,42.008
235,195.09,42.688
236,193.04,43.345
237,198.13,41.4
238,195.95,42.043
239,193.83,42.663
240,191.77,43.262
241,196.88,41.498
242,194.7,42.079
243,192.57,42.638
244,190.5,43.178
245,195.62,41.596
246,193.44,42.114
247,191.31,42.613
248,189.23,43.094
249,194.36,41.695
250,192.18,42.15
251,190.05,42.588
252,187.97,43.009
253,193.1,41.793
254,190.93,42.186
255,188.8,42.563
256,186.7,42.924
257,191.84,41.892
258,189.67,42.222
259,187.54,42.538
260,185.44,42.839
261,190.57,41.99
262,188.41,42.258
263,186.28,42.512
264,184.18,42.753
265,189.31,42.089
266,187.15,42.294
267,185.03,42.487
268,182.92,42.667
269,188.04,42.188
270,185.89,42.331
271,183.77,42.462
272,181.66,42.581
273,186.77,42.287
274,184.63,42.367
275,182.52,42.437
276,180.41,42.495
277,185.49,42.385
278,183.37,42.404
279,181.26,42.412
280,179.16,42.408
281,184.22,42.484
282,182.11,42.441
283,180.01,42.387
284,177.91,42.322
285,182.94,42.582
286,180.85,42.477
287,178.75,42.362
288,176.66,42.235
289,181.67,42.68
290,179.59,42.514
291,177.5,42.337
292,175.41,42.148
293,180.39,42.778
294,178.32,42.551
295,176.25,42.312
296,174.16,42.062
297,179.11,42.875
298,177.06,42.588
299,175,42.288
300,172.92,41.975
301,177.82,42.972
302,175.8,42.624
303,173.75,42.263
304,171.68,41.889
305,176.54,43.068
306,174.53,42.661
307,172.5,42.239
308,170.44,41.803
309,175.25,43.165
310,173.26,42.698
311,171.25,42.215
312,169.2,41.717
313,173.96,43.26
314,172,42.734
315,170,42.191
316,167.97,41.631
317,172.67,43.355
318,170.73,42.771
319,168.75,42.167
320,166.74,41.546
321,171.38,43.45
322,169.46,42.807
323,167.5,42.144
324,165.5,41.461
325,170.09,43.544
326,168.19,42.843
327,166.26,42.121
328,164.27,41.376
329,168.79,43.637
330,166.92,42.879
331,165.01,42.098
332,163.05,41.292
333,167.5,43.729
334,165.66,42.915
335,163.77,42.075
336,161.82,41.209
337,166.2,43.821
338,164.38,42.951
339,162.52,42.053
340,160.6,41.126
341,164.9,43.912
342,163.11,42.987
343,161.28,42.031
344,159.38,41.044
345,163.6,44.002
346,161.84,43.022
347,160.03,42.01
348,158.16,40.962
349,162.3,44.091
350,160.57,43.058
351,158.79,41.988
352,156.94,40.881
353,160.99,44.179
354,159.3,43.093
355,157.54,41.967
356,155.72,40.801
357,159.69,44.267
358,158.02,43.127
359,156.3,41.947
360,154.51,40.722
361,158.38,44.353
362,156.75,43.162
363,155.06,41.926
364,153.3,40.644
365,157.07,44.439
366,155.48,43.196
367,153.82,41.907
368,152.09,40.566
369,155.76,44.523
370,154.2,43.23
371,152.58,41.887
372,150.88,40.49
373,154.45,44.606
374,152.93,43.264
375,151.34,41.868
376,149.67,40.414
377,153.14,44.689
378,151.65,43.298
379,150.1,41.85
380,148.47,40.34
381,151.83,44.77
382,150.37,43.331
383,148.86,41.832
384,147.26,40.266
385,150.51,44.85
386,149.1,43.364
387,147.62,41.814
388,146.06,40.194
389,149.2,44.928
390,147.82,43.396
391,146.38,41.797
392,144.86,40.123
393,147.88,45.006
394,146.54,43.428
395,145.14,41.781
396,143.67,40.054
397,146.56,45.082
398,145.27,43.46
399,143.9,41.764
400,142.47,39.985
401,145.25,45.157
402,143.99,43.492
403,142.67,41.749
404,141.27,39.918
405,143.93,45.231
406,142.71,43.523
407,141.43,41.734
408,140.08,39.853
409,142.61,45.303
410,141.43,43.554
411,140.19,41.719
412,138.89,39.789
413,141.28,45.374
414,140.15,43.584
415,138.96,41.706
416,137.7,39.726
417,139.96,45.443
418,138.87,43.614
419,137.72,41.692
420,136.51,39.665
421,138.64,45.511
422,137.59,43.643
423,136.49,41.679
424,135.32,39.605
425,137.31,45.578
426,136.31,43.672
427,135.25,41.667
428,134.14,39.548
429,135.99,45.643
430,135.03,43.701
431,134.02,41.656
432,132.95,39.491
433,134.66,45.707
434,133.74,43.729
435,132.78,41.645
436,131.77,39.437
437,133.34,45.769
438,132.46,43.757
439,131.55,41.635
440,130.59,39.384
441,132.01,45.83
442,131.18,43.784
443,130.31,41.625
444,129.4,39.333
445,130.68,45.889
446,129.9,43.811
447,129.08,41.616
448,128.22,39.284
449,129.35,45.947
450,128.61,43.837
451,127.85,41.608
452,127.05,39.236
453,128.02,46.003
454,127.33,43.863
455,126.61,41.6
456,125.87,39.191
457,126.69,46.057
458,126.05,43.889
459,125.38,41.593
460,124.69,39.147
461,125.36,46.11
462,124.76,43.914
463,124.15,41.587
464,123.51,39.106
465,124.03,46.161
466,123.48,43.938
467,122.92,41.581
468,122.34,39.066
469,122.7,46.211
470,122.2,43.962
471,121.68,41.577
472,121.16,39.028
473,121.37,46.258
474,120.91,43.985
475,120.45,41.572
476,119.99,38.993
477,120.04,46.304
478,119.63,44.008
479,119.22,41.569
480,118.82,38.959
481,118.7,46.349
482,118.34,44.03
483,117.99,41.566
484,117.65,38.928
485,117.37,46.392
486,117.06,44.052
487,116.76,41.564
488,116.47,38.899
489,116.04,46.433
490,115.77,44.073
491,115.52,41.563
492,115.3,38.872
493,114.7,46.472
494,114.49,44.093
495,114.29,41.563
496,114.13,38.847
497,113.37,46.51
498,113.2,44.114
499,113.06,41.563
500,112.96,38.825
501,112.04,46.545
502,111.92,44.133
503,111.83,41.564
504,111.79,38.804
505,110.7,46.579
506,110.63,44.152
507,110.6,41.566
508,110.62,38.786
509,109.37,46.612
510,109.35,44.17
511,109.37,41.568
512,109.45,38.77
513,108.03,46.642
514,108.06,44.188
515,108.13,41.572
516,108.28,38.757
517,106.7,46.671
518,106.77,44.205
519,106.9,41.576
520,107.11,38.745
521,105.36,46.698
522,105.49,44.222
523,105.67,41.581
524,105.94,38.737
525,104.03,46.723
526,104.2,44.238
527,104.44,41.587
528,104.77,38.73
529,102.7,46.746
530,102.92,44.254
531,103.21,41.593
532,103.6,38.726
533,101.36,46.768
534,101.63,44.269
535,101.98,41.6
536,102.43,38.724
537,100.03,46.787
538,100.34,44.283
539,100.74,41.608
540,101.26,38.724
541,98.694,46.805
542,99.059,44.297
543,99.511,41.617
544,100.09,38.727
545,97.361,46.821
546,97.773,44.31
547,98.279,41.627
548,98.913,38.733
549,96.028,46.836
550,96.488,44.322
551,97.046,41.637
552,97.741,38.74
553,94.694,46.848
554,95.202,44.334
555,95.813,41.649
556,96.568,38.75
557,93.362,46.859
558,93.917,44.346
559,94.58,41.661
560,95.394,38.763
561,92.029,46.868
562,92.631,44.357
563,93.347,41.673
564,94.219,38.777
565,90.697,46.875
566,91.346,44.367
567,92.113,41.687
568,93.044,38.795
569,89.366,46.88
570,90.061,44.377
571,90.879,41.701
572,91.868,38.814
573,88.034,46.884
574,88.776,44.386
575,89.645,41.717
576,90.691,38.836
577,86.704,46.885
578,87.491,44.394
579,88.41,41.733
580,89.513,38.86
581,85.374,46.885
582,86.206,44.402
583,87.175,41.749
584,88.334,38.887
585,84.044,46.883
586,84.922,44.41
587,85.94,41.767
588,87.153,38.916
589,82.715,46.88
590,83.637,44.416
591,84.705,41.785
592,85.972,38.947
593,81.387,46.874
594,82.353,44.423
595,83.469,41.804
596,84.789,38.98
597,80.059,46.867
598,81.069,44.428
599,82.232,41.824
600,83.605,39.016
601,78.732,46.858
602,79.786,44.433
603,80.996,41.845
604,82.42,39.054
605,77.406,46.848
606,78.502,44.438
607,79.758,41.866
608,81.233,39.095
609,76.08,46.835
610,77.219,44.442
611,78.521,41.888
612,80.045,39.137
613,74.755,46.821
614,75.936,44.445
615,77.283,41.911
616,78.856,39.182
617,73.431,46.806
618,74.653,44.448
619,76.044,41.934
620,77.664,39.229
621,72.108,46.788
622,73.371,44.451
623,74.805,41.959
624,76.472,39.278
625,70.786,46.769
626,72.089,44.453
627,73.566,41.984
628,75.277,39.33
629,69.465,46.748
630,70.807,44.454
631,72.325,42.009
632,74.081,39.383
633,68.145,46.726
634,69.526,44.455
635,71.085,42.036
636,72.883,39.438
637,66.825,46.702
638,68.245,44.455
639,69.844,42.063
640,71.684,39.496
641,65.507,46.676
642,66.964,44.455
643,68.602,42.091
644,70.482,39.555
645,64.19,46.649
646,65.684,44.454
647,67.36,42.12
648,69.279,39.617
649,62.874,46.62
650,64.404,44.453
651,66.117,42.149
652,68.074,39.68
653,61.559,46.59
654,63.124,44.451
655,64.874,42.179
656,66.867,39.746
657,60.245,46.558
658,61.845,44.449
659,63.63,42.209
660,65.658,39.813
661,58.932,46.525
662,60.566,44.446
663,62.385,42.24
664,64.447,39.882
665,57.621,46.49
666,59.288,44.443
667,61.14,42.272
668,63.234,39.953
669,56.31,46.453
670,58.01,44.439
671,59.894,42.305
672,62.019,40.026
673,55.001,46.415
674,56.733,44.435
675,58.648,42.338
676,60.802,40.1
677,53.693,46.376
678,55.455,44.431
679,57.4,42.371
680,59.583,40.177
681,52.387,46.335
682,54.179,44.426
683,56.153,42.406
684,58.362,40.254
685,51.082,46.293
686,52.903,44.421
687,54.904,42.44
688,57.139,40.334
689,49.778,46.25
690,51.627,44.415
691,53.655,42.476
692,55.913,40.415
693,48.476,46.205
694,50.352,44.409
695,52.405,42.512
696,54.686,40.497
697,47.175,46.159
698,49.077,44.402
699,51.155,42.548
700,53.456,40.581
701,45.876,46.112
702,47.803,44.395
703,49.904,42.585
704,52.224,40.667
705,44.578,46.063
706,46.529,44.388
707,48.652,42.623
708,50.99,40.753
709,43.281,46.014
710,45.256,44.38
711,47.399,42.661
712,49.754,40.841
713,41.987,45.963
714,43.983,44.372
715,46.146,42.699
716,48.515,40.931
717,40.693,45.91
718,42.711,44.364
719,44.892,42.738
720,47.275,41.021
721,39.401,45.857
722,41.439,44.356
723,43.637,42.778
724,46.032,41.113
725,38.111,45.803
726,40.168,44.347
727,42.381,42.818
728,44.787,41.206
729,36.823,45.747
730,38.897,44.337
731,41.125,42.858
732,43.54,41.3
733,35.536,45.691
734,37.627,44.328
735,39.868,42.899
736,42.29,41.396
737,34.251,45.633
738,36.358,44.318
739,38.611,42.94
740,41.039,41.492
741,32.967,45.575
742,35.089,44.308
743,37.352,42.982
744,39.785,41.589
745,31.685,45.516
746,33.821,44.298
747,36.093,43.024
748,38.529,41.687
749,30.405,45.455
750,32.553,44.287
751,34.833,43.066
752,37.271,41.786
753,29.127,45.394
754,31.285,44.276
755,33.572,43.109
756,36.011,41.886
757,27.85,45.332
758,30.019,44.265
759,32.311,43.152
760,34.748,41.986
761,26.575,45.269
762,28.753,44.254
763,31.049,43.195
764,33.484,42.087
765,25.302,45.206
766,27.487,44.243
767,29.786,43.239
768,32.217,42.189
769,24.031,45.141
770,26.222,44.231
771,28.522,43.283
772,30.948,42.292
773,22.761,45.076
774,24.958,44.22
775,27.258,43.327
776,29.677,42.395
777,21.494,45.011
778,23.694,44.208
779,25.993,43.371
780,28.404,42.498
781,20.228,44.945
782,22.431,44.196
783,24.727,43.416
784,27.129,42.602
785,18.964,44.878
786,21.168,44.184
787,23.46,43.461
788,25.852,42.707
789,17.702,44.81
790,19.906,44.172
791,22.193,43.506
792,24.573,42.812
793,16.442,44.743
794,18.645,44.159
795,20.925,43.551
796,23.292,42.917
797,15.184,44.674
798,17.384,44.147
799,19.656,43.597
800,22.009,43.022
801,13.927,44.606
802,16.123,44.135
803,18.387,43.643
804,20.723,43.128
805,12.673,44.536
806,14.864,44.122
807,17.116,43.688
808,19.436,43.234
809,11.42,44.467
810,13.605,44.11
811,15.845,43.734
812,18.147,43.34
813,10.169,44.397
814,12.346,44.097
815,14.573,43.78
816,16.856,43.446
817,8.9207,44.327
818,11.088,44.085
819,13.301,43.827
820,15.563,43.552
821,7.6738,44.257
822,9.8306,44.072
823,12.028,43.873
824,14.269,43.658
825,6.4289,44.187
826,8.5738,44.06
827,10.754,43.919
828,12.972,43.764
829,5.1859,44.116
830,7.3175,44.047
831,9.4795,43.966
832,11.674,43.87
833,3.9448,44.046
834,6.0618,44.035
835,8.2043,44.012
836,10.374,43.976
837,2.7057,43.975
838,4.8067,44.023
839,6.9284,44.058
840,9.072,44.082
841,1.4684,43.905
842,3.5522,44.011
843,5.6518,44.105
844,7.7684,44.187
845,0.23312,43.834
846,2.2981,43.999
847,4.3745,44.151
848,6.4632,44.292
849,359,43.764
850,1.0447,43.987
851,3.0966,44.198
852,5.1562,44.397
853,357.77,43.694
854,359.79,43.975
855,1.818,44.244
856,3.8476,44.501
857,356.54,43.624
858,358.54,43.963
859,0.53879,44.29
860,2.5375,44.605
861,355.31,43.554
862,357.29,43.952
863,359.26,44.337
864,1.2257,44.709
865,354.08,43.485
866,356.04,43.94
867,357.98,44.383
868,359.91,44.812
869,352.86,43.415
870,354.79,43.929
871,356.7,44.429
872,358.6,44.914
873,351.64,43.347
874,353.54,43.918
875,355.42,44.475
876,357.28,45.016
877,350.42,43.278
878,352.29,43.908
879,354.13,44.521
880,355.96,45.118
881,349.2,43.21
882,351.04,43.897
883,352.85,44.567
884,354.64,45.218
885,347.98,43.143
886,349.79,43.887
887,351.57,44.612
888,353.32,45.318
889,346.77,43.076
890,348.54,43.877
891,350.28,44.658
892,352,45.418
893,345.56,43.01
894,347.29,43.867
895,349,44.703
896,350.68,45.516
897,344.34,42.944
898,346.04,43.858
899,347.71,44.748
900,349.35,45.614
901,343.13,42.879
902,344.8,43.849
903,346.43,44.793
904,348.03,45.711
905,341.93,42.815
906,343.55,43.84
907,345.14,44.837
908,346.7,45.807
909,340.72,42.751
910,342.3,43.832
911,343.85,44.882
912,345.37,45.902
913,339.51,42.689
914,341.06,43.824
915,342.57,44.926
916,344.04,45.996
917,338.31,42.627
918,339.81,43.816
919,341.28,44.97
920,342.71,46.089
921,337.11,42.566
922,338.57,43.809
923,339.99,45.013
924,341.38,46.181
925,335.91,42.506
926,337.32,43.802
927,338.7,45.056
928,340.05,46.272
929,334.71,42.448
930,336.08,43.795
931,337.41,45.099
932,338.72,46.362
933,333.51,42.39
934,334.84,43.789
935,336.12,45.142
936,337.38,46.451
937,332.32,42.333
938,333.59,43.783
939,334.83,45.185
940,336.04,46.539
941,331.12,42.277
942,332.35,43.778
943,333.54,45.227
944,334.71,46.626
945,329.93,42.223
946,331.11,43.773
947,332.25,45.268
948,333.37,46.711
949,328.74,42.17
950,329.86,43.769
951,330.96,45.31
952,332.03,46.795
953,327.55,42.118
954,328.62,43.765
955,329.67,45.351
956,330.69,46.878
957,326.36,42.067
958,327.38,43.762
959,328.38,45.391
960,329.35,46.96
961,325.17,42.018
962,326.14,43.759
963,327.08,45.431
964,328.01,47.04
965,323.99,41.97
966,324.9,43.757
967,325.79,45.471
968,326.67,47.12
969,322.8,41.923
970,323.66,43.755
971,324.5,45.511
972,325.33,47.197
973,321.62,41.878
974,322.41,43.754
975,323.2,45.55
976,323.99,47.274
977,320.43,41.835
978,321.17,43.753
979,321.91,45.588
980,322.64,47.349
981,319.25,41.793
982,319.93,43.753
983,320.62,45.626
984,321.3,47.422
985,318.07,41.752
986,318.69,43.753
987,319.32,45.664
988,319.96,47.494
989,316.89,41.713
990,317.45,43.754
991,318.03,45.701
992,318.61,47.565
993,315.71,41.676
994,316.21,43.756
995,316.73,45.738
996,317.27,47.634
997,314.53,41.64
998,314.97,43.758
999,315.44,45.774
1000,315.92,47.702
1001,313.35,41.606
1002,313.73,43.761
1003,314.14,45.81
1004,314.57,47.768
1005,312.17,41.574
1006,312.49,43.764
1007,312.85,45.846
1008,313.23,47.833
1009,310.99,41.544
1010,311.25,43.768
1011,311.55,45.881
1012,311.88,47.896
1013,309.82,41.515
1014,310.01,43.773
1015,310.26,45.915
1016,310.53,47.957
1017,308.64,41.489
1018,308.77,43.778
1019,308.96,45.949
1020,309.19,48.017
1021,307.46,41.464
1022,307.53,43.784
1023,307.66,45.982
1024,307.84,48.075
1025,306.29,41.441
1026,306.29,43.79
1027,306.37,46.015
1028,306.49,48.132
1029,305.11,41.419
1030,305.05,43.798
1031,305.07,46.047
1032,305.14,48.187
1033,303.93,41.4
1034,303.81,43.805
1035,303.77,46.079
1036,303.8,48.24
1037,302.76,41.383
1038,302.57,43.814
1039,302.48,46.111
1040,302.45,48.292
1041,301.58,41.368
1042,301.33,43.823
1043,301.18,46.141
1044,301.1,48.342
1045,300.41,41.355
1046,300.09,43.833
1047,299.88,46.172
1048,299.75,48.391
1049,299.23,41.343
1050,298.85,43.844
1051,298.59,46.201
1052,298.41,48.438
1053,298.06,41.334
1054,297.61,43.855
1055,297.29,46.23
1056,297.06,48.483
1057,296.88,41.327
1058,296.37,43.867
1059,295.99,46.259
1060,295.71,48.526
1061,295.7,41.322
1062,295.13,43.88
1063,294.7,46.287
1064,294.36,48.568
1065,294.53,41.319
1066,293.89,43.893
1067,293.4,46.314
1068,293.02,48.608
1069,293.35,41.318
1070,292.65,43.907
1071,292.1,46.341
1072,291.67,48.646
1073,292.17,41.319
1074,291.41,43.922
1075,290.81,46.368
1076,290.32,48.682
1077,290.99,41.323
1078,290.17,43.937
1079,289.51,46.393
1080,288.97,48.717
1081,289.81,41.328
1082,288.93,43.953
1083,288.21,46.419
1084,287.63,48.75
1085,288.63,41.336
1086,287.68,43.97
1087,286.92,46.443
1088,286.28,48.781
1089,287.45,41.346
1090,286.44,43.988
1091,285.62,46.467
1092,284.94,48.811
1093,286.27,41.358
1094,285.2,44.006
1095,284.32,46.491
1096,283.59,48.839
1097,285.09,41.372
1098,283.96,44.025
1099,283.03,46.514
1100,282.25,48.865
1101,283.91,41.388
1102,282.71,44.045
1103,281.73,46.536
1104,280.9,48.889
1105,282.72,41.406
1106,281.47,44.065
1107,280.43,46.558
1108,279.56,48.912
1109,281.54,41.427
1110,280.23,44.087
1111,279.14,46.579
1112,278.22,48.933
1113,280.35,41.45
1114,278.98,44.109
1115,277.84,46.6
1116,276.87,48.952
1117,279.16,41.475
1118,277.74,44.131
1119,276.55,46.62
1120,275.53,48.969
1121,277.98,41.502
1122,276.49,44.154
1123,275.25,46.639
1124,274.19,48.985
1125,276.79,41.531
1126,275.25,44.178
1127,273.96,46.658
1128,272.85,48.999
1129,275.59,41.562
1130,274,44.203
1131,272.66,46.677
1132,271.51,49.011
1133,274.4,41.596
1134,272.75,44.229
1135,271.37,46.695
1136,270.17,49.022
1137,273.21,41.631
1138,271.51,44.255
1139,270.07,46.712
1140,268.83,49.031
1141,272.01,41.669
1142,270.26,44.282
1143,268.78,46.729
1144,267.5,49.038
1145,270.81,41.709
1146,269.01,44.309
1147,267.48,46.745
1148,266.16,49.043
1149,269.61,41.751
1150,267.76,44.337
1151,266.19,46.76
1152,264.82,49.047
1153,268.41,41.795
1154,266.51,44.366
1155,264.9,46.775
1156,263.49,49.049
1157,267.21,41.841
1158,265.27,44.396
1159,263.6,46.79
1160,262.16,49.05
1161,266.01,41.889
1162,264.02,44.426
1163,262.31,46.804
1164,260.82,49.049
1165,264.8,41.939
1166,262.76,44.457
1167,261.02,46.817
1168,259.49,49.046
1169,263.59,41.991
1170,261.51,44.489
1171,259.73,46.83
1172,258.16,49.042
1173,262.38,42.045
1174,260.26,44.521
1175,258.44,46.843
1176,256.83,49.036
1177,261.17,42.101
1178,259.01,44.554
1179,257.14,46.854
1180,255.5,49.028
1181,259.96,42.159
1182,257.76,44.587
1183,255.85,46.866
1184,254.17,49.019
1185,258.74,42.219
1186,256.5,44.622
1187,254.56,46.877
1188,252.85,49.008
1189,257.52,42.281
1190,255.25,44.656
1191,253.27,46.887
1192,251.52,48.996
1193,256.3,42.344
1194,253.99,44.692
1195,251.98,46.897
1196,250.2,48.982
1197,255.08,42.41
1198,252.74,44.728
1199,250.69,46.906
1200,248.88,48.967
1201,253.85,42.477
1202,251.48,44.765
1203,249.4,46.915
1204,247.55,48.95
1205,252.63,42.546
1206,250.22,44.802
1207,248.12,46.923
1208,246.23,48.932
1209,251.4,42.616
1210,248.97,44.84
1211,246.83,46.931
1212,244.92,48.912
1213,250.17,42.689
1214,247.71,44.878
1215,245.54,46.939
1216,243.6,48.891
1217,248.94,42.763
1218,246.45,44.917
1219,244.25,46.946
1220,242.28,48.868
1221,247.7,42.838
1222,245.19,44.957
1223,242.97,46.952
1224,240.97,48.844
1225,246.46,42.915
1226,243.93,44.997
1227,241.68,46.958
1228,239.65,48.819
1229,245.22,42.994
1230,242.67,45.037
1231,240.39,46.964
1232,238.34,48.792
1233,243.98,43.074
1234,241.4,45.078
1235,239.11,46.969
1236,237.03,48.764
1237,242.74,43.156
1238,240.14,45.12
1239,237.82,46.974
1240,235.72,48.735
1241,241.49,43.239
1242,238.88,45.162
1243,236.54,46.979
1244,234.42,48.704
1245,240.24,43.324
1246,237.61,45.205
1247,235.26,46.983
1248,233.11,48.672
1249,238.99,43.41
1250,236.35,45.248
1251,233.97,46.987
1252,231.81,48.639
1253,237.74,43.497
1254,235.08,45.292
1255,232.69,46.99
1256,230.5,48.605
1257,236.48,43.586
1258,233.82,45.336
1259,231.41,46.993
1260,229.2,48.57
1261,235.22,43.676
1262,232.55,45.38
1263,230.13,46.995
1264,227.9,48.533
1265,233.96,43.767
1266,231.28,45.425
1267,228.84,46.998
1268,226.61,48.496
1269,232.7,43.859
1270,230.01,45.471
1271,227.56,47
1272,225.31,48.457
1273,231.43,43.952
1274,228.74,45.516
1275,226.28,47.001
1276,224.02,48.417
1277,230.17,44.046
1278,227.47,45.563
1279,225,47.003
1280,222.72,48.376
1281,228.9,44.142
1282,226.2,45.609
1283,223.73,47.004
1284,221.43,48.334
1285,227.63,44.238
1286,224.93,45.656
1287,222.45,47.004
1288,220.14,48.292
1289,226.35,44.335
1290,223.66,45.703
1291,221.17,47.005
1292,218.86,48.248
1293,225.07,44.434
1294,222.38,45.751
1295,219.89,47.005
1296,217.57,48.203
1297,223.8,44.533
1298,221.11,45.799
1299,218.62,47.005
1300,216.29,48.158
1301,222.52,44.632
1302,219.83,45.847
1303,217.34,47.005
1304,215,48.111
1305,221.23,44.733
1306,218.56,45.896
1307,216.06,47.004
1308,213.72,48.064
1309,219.95,44.834
1310,217.28,45.945
1311,214.79,47.003
1312,212.45,48.016
1313,218.66,44.936
1314,216,45.994
1315,213.51,47.002
1316,211.17,47.968
1317,217.37,45.039
1318,214.72,46.043
1319,212.24,47.001
1320,209.89,47.918
1321,216.08,45.142
1322,213.45,46.093
1323,210.97,47
1324,208.62,47.868
1325,214.78,45.246
1326,212.17,46.143
1327,209.69,46.998
1328,207.35,47.818
1329,213.49,45.35
1330,210.88,46.193
1331,208.42,46.997
1332,206.08,47.767
1333,212.19,45.455
1334,209.6,46.243
1335,207.15,46.995
1336,204.81,47.715
1337,210.89,45.56
1338,208.32,46.293
1339,205.88,46.993
1340,203.55,47.663
1341,209.59,45.665
1342,207.04,46.344
1343,204.61,46.991
1344,202.28,47.61
1345,208.28,45.771
1346,205.76,46.395
1347,203.34,46.989
1348,201.02,47.557
1349,206.98,45.877
1350,204.47,46.446
1351,202.07,46.987
1352,199.76,47.503
1353,205.67,45.983
1354,203.19,46.497
1355,200.8,46.985
1356,198.51,47.449
1357,204.36,46.09
1358,201.9,46.548
1359,199.53,46.982
1360,197.25,47.395
